JobTitle,Experience,Salary
Software Engineer,1,69000
Software Engineer,1,74500
Software Engineer,1,67500
Software Engineer,1,69500
Software Engineer,1,72000
Software Engineer,2,82500
Software Engineer,2,82500
Software Engineer,2,88500
Software Engineer,2,86500
Software Engineer,2,83000
Software Engineer,3,100500
Software Engineer,3,102500
Software Engineer,3,98000
Software Engineer,3,105000
Software Engineer,3,101500
Software Engineer,4,115000
Software Engineer,4,113500
Software Engineer,4,113500
Software Engineer,4,116500
Software Engineer,4,116500
Software Engineer,5,129000
Software Engineer,5,130500
Software Engineer,5,129000
Software Engineer,5,133000
Software Engineer,5,132000
Software Engineer,6,144500
Software Engineer,6,151000
Software Engineer,6,148500
Software Engineer,6,145000
Software Engineer,6,152000
Software Engineer,7,161500
Software Engineer,7,164500
Software Engineer,7,164500
Software Engineer,7,164500
Software Engineer,7,167500
Software Engineer,8,175500
Software Engineer,8,179500
Software Engineer,8,180000
Software Engineer,8,178000
Software Engineer,8,175500
Software Engineer,9,198500
Software Engineer,9,192500
Software Engineer,9,191000
Software Engineer,9,195000
Software Engineer,9,197500
Software Engineer,10,207000
Software Engineer,10,208500
Software Engineer,10,209500
Software Engineer,10,207000
Software Engineer,10,210500
ML Engineer,1,95500
ML Engineer,1,103000
ML Engineer,1,98500
ML Engineer,1,102500
ML Engineer,1,96500
ML Engineer,2,113500
ML Engineer,2,121500
ML Engineer,2,121500
ML Engineer,2,115000
ML Engineer,2,118000
ML Engineer,3,132000
ML Engineer,3,139500
ML Engineer,3,131500
ML Engineer,3,139500
ML Engineer,3,131500
ML Engineer,4,152500
ML Engineer,4,157000
ML Engineer,4,157500
ML Engineer,4,156000
ML Engineer,4,154000
ML Engineer,5,175000
ML Engineer,5,177000
ML Engineer,5,175000
ML Engineer,5,173500
ML Engineer,5,172500
ML Engineer,6,190000
ML Engineer,6,189000
ML Engineer,6,190000
ML Engineer,6,187500
ML Engineer,6,195500
ML Engineer,7,209500
ML Engineer,7,213000
ML Engineer,7,212500
ML Engineer,7,210000
ML Engineer,7,212000
ML Engineer,8,227500
ML Engineer,8,233000
ML Engineer,8,224000
ML Engineer,8,225000
ML Engineer,8,231500
ML Engineer,9,248500
ML Engineer,9,244000
ML Engineer,9,247000
ML Engineer,9,244000
ML Engineer,9,249500
ML Engineer,10,267000
ML Engineer,10,260500
ML Engineer,10,261500
ML Engineer,10,269000
ML Engineer,10,269500
Data Scientist,1,93000
Data Scientist,1,93500
Data Scientist,1,93500
Data Scientist,1,96000
Data Scientist,1,95500
Data Scientist,2,106500
Data Scientist,2,107000
Data Scientist,2,110000
Data Scientist,2,113500
Data Scientist,2,106500
Data Scientist,3,124000
Data Scientist,3,128000
Data Scientist,3,130500
Data Scientist,3,127500
Data Scientist,3,129500
Data Scientist,4,146000
Data Scientist,4,141000
Data Scientist,4,148000
Data Scientist,4,146500
Data Scientist,4,143500
Data Scientist,5,160000
Data Scientist,5,166000
Data Scientist,5,159000
Data Scientist,5,161500
Data Scientist,5,162500
Data Scientist,6,177500
Data Scientist,6,179500
Data Scientist,6,182000
Data Scientist,6,182000
Data Scientist,6,183500
Data Scientist,7,194500
Data Scientist,7,195500
Data Scientist,7,200500
Data Scientist,7,199500
Data Scientist,7,197500
Data Scientist,8,212500
Data Scientist,8,217500
Data Scientist,8,215000
Data Scientist,8,217500
Data Scientist,8,216500
Data Scientist,9,234000
Data Scientist,9,232000
Data Scientist,9,230500
Data Scientist,9,229500
Data Scientist,9,231000
Data Scientist,10,248000
Data Scientist,10,249500
Data Scientist,10,249500
Data Scientist,10,245500
Data Scientist,10,253500
Data Analyst,1,61000
Data Analyst,1,57500
Data Analyst,1,58000
Data Analyst,1,58500
Data Analyst,1,56000
Data Analyst,2,66000
Data Analyst,2,68500
Data Analyst,2,69500
Data Analyst,2,68000
Data Analyst,2,70000
Data Analyst,3,78500
Data Analyst,3,76500
Data Analyst,3,75000
Data Analyst,3,79500
Data Analyst,3,78000
Data Analyst,4,88000
Data Analyst,4,88500
Data Analyst,4,88500
Data Analyst,4,83500
Data Analyst,4,86500
Data Analyst,5,97500
Data Analyst,5,96500
Data Analyst,5,95000
Data Analyst,5,95500
Data Analyst,5,95500
Data Analyst,6,104000
Data Analyst,6,102000
Data Analyst,6,105000
Data Analyst,6,106000
Data Analyst,6,104500
Data Analyst,7,110500
Data Analyst,7,111500
Data Analyst,7,110500
Data Analyst,7,111500
Data Analyst,7,113500
Data Analyst,8,120500
Data Analyst,8,120000
Data Analyst,8,122000
Data Analyst,8,124000
Data Analyst,8,119500
Data Analyst,9,129000
Data Analyst,9,128000
Data Analyst,9,132500
Data Analyst,9,129000
Data Analyst,9,132500
Data Analyst,10,138000
Data Analyst,10,140000
Data Analyst,10,142000
Data Analyst,10,137000
Data Analyst,10,137500
DevOps Engineer,1,82000
DevOps Engineer,1,76500
DevOps Engineer,1,80000
DevOps Engineer,1,78000
DevOps Engineer,1,76000
DevOps Engineer,2,94000
DevOps Engineer,2,91000
DevOps Engineer,2,97000
DevOps Engineer,2,92000
DevOps Engineer,2,94000
DevOps Engineer,3,106000
DevOps Engineer,3,107000
DevOps Engineer,3,104000
DevOps Engineer,3,104000
DevOps Engineer,3,110000
DevOps Engineer,4,121000
DevOps Engineer,4,121000
DevOps Engineer,4,121000
DevOps Engineer,4,121000
DevOps Engineer,4,119500
DevOps Engineer,5,131500
DevOps Engineer,5,132000
DevOps Engineer,5,132000
DevOps Engineer,5,137000
DevOps Engineer,5,134000
DevOps Engineer,6,151000
DevOps Engineer,6,147000
DevOps Engineer,6,149000
DevOps Engineer,6,152000
DevOps Engineer,6,150500
DevOps Engineer,7,160500
DevOps Engineer,7,163000
DevOps Engineer,7,159000
DevOps Engineer,7,160500
DevOps Engineer,7,167000
DevOps Engineer,8,181000
DevOps Engineer,8,177500
DevOps Engineer,8,176000
DevOps Engineer,8,174000
DevOps Engineer,8,178500
DevOps Engineer,9,191500
DevOps Engineer,9,194500
DevOps Engineer,9,187000
DevOps Engineer,9,193000
DevOps Engineer,9,191500
DevOps Engineer,10,203500
DevOps Engineer,10,206500
DevOps Engineer,10,208000
DevOps Engineer,10,201500
DevOps Engineer,10,206500
Backend Developer,1,74500
Backend Developer,1,70000
Backend Developer,1,72000
Backend Developer,1,70500
Backend Developer,1,75000
Backend Developer,2,82500
Backend Developer,2,84000
Backend Developer,2,87500
Backend Developer,2,83000
Backend Developer,2,85500
Backend Developer,3,99000
Backend Developer,3,101000
Backend Developer,3,99000
Backend Developer,3,97500
Backend Developer,3,100000
Backend Developer,4,110000
Backend Developer,4,113000
Backend Developer,4,115000
Backend Developer,4,114500
Backend Developer,4,114500
Backend Developer,5,128500
Backend Developer,5,123500
Backend Developer,5,128500
Backend Developer,5,123500
Backend Developer,5,128500
Backend Developer,6,138500
Backend Developer,6,141500
Backend Developer,6,142000
Backend Developer,6,137000
Backend Developer,6,137000
Backend Developer,7,153000
Backend Developer,7,152500
Backend Developer,7,151500
Backend Developer,7,154500
Backend Developer,7,149000
Backend Developer,8,162500
Backend Developer,8,168500
Backend Developer,8,164500
Backend Developer,8,166000
Backend Developer,8,164500
Backend Developer,9,177500
Backend Developer,9,181500
Backend Developer,9,180500
Backend Developer,9,178500
Backend Developer,9,179500
Backend Developer,10,196000
Backend Developer,10,195000
Backend Developer,10,192000
Backend Developer,10,192000
Backend Developer,10,190000
Frontend Developer,1,62500
Frontend Developer,1,61500
Frontend Developer,1,62500
Frontend Developer,1,64500
Frontend Developer,1,62000
Frontend Developer,2,75500
Frontend Developer,2,74000
Frontend Developer,2,76500
Frontend Developer,2,77500
Frontend Developer,2,77500
Frontend Developer,3,91500
Frontend Developer,3,84500
Frontend Developer,3,88500
Frontend Developer,3,90000
Frontend Developer,3,87500
Frontend Developer,4,103000
Frontend Developer,4,102000
Frontend Developer,4,97000
Frontend Developer,4,103500
Frontend Developer,4,102000
Frontend Developer,5,109500
Frontend Developer,5,111500
Frontend Developer,5,115000
Frontend Developer,5,114500
Frontend Developer,5,114500
Frontend Developer,6,122000
Frontend Developer,6,124500
Frontend Developer,6,122000
Frontend Developer,6,124000
Frontend Developer,6,127000
Frontend Developer,7,137500
Frontend Developer,7,135000
Frontend Developer,7,133000
Frontend Developer,7,139000
Frontend Developer,7,138500
Frontend Developer,8,147500
Frontend Developer,8,148500
Frontend Developer,8,148000
Frontend Developer,8,150500
Frontend Developer,8,145000
Frontend Developer,9,162500
Frontend Developer,9,158000
Frontend Developer,9,158000
Frontend Developer,9,157500
Frontend Developer,9,156500
Frontend Developer,10,169500
Frontend Developer,10,173500
Frontend Developer,10,172500
Frontend Developer,10,175000
Frontend Developer,10,174000
Full Stack Developer,1,71500
Full Stack Developer,1,75500
Full Stack Developer,1,77500
Full Stack Developer,1,75500
Full Stack Developer,1,74500
Full Stack Developer,2,90500
Full Stack Developer,2,92500
Full Stack Developer,2,88000
Full Stack Developer,2,86500
Full Stack Developer,2,89500
Full Stack Developer,3,104000
Full Stack Developer,3,100500
Full Stack Developer,3,99500
Full Stack Developer,3,99500
Full Stack Developer,3,106000
Full Stack Developer,4,122000
Full Stack Developer,4,120000
Full Stack Developer,4,119500
Full Stack Developer,4,115000
Full Stack Developer,4,118500
Full Stack Developer,5,134500
Full Stack Developer,5,136000
Full Stack Developer,5,129500
Full Stack Developer,5,132000
Full Stack Developer,5,135500
Full Stack Developer,6,144500
Full Stack Developer,6,150000
Full Stack Developer,6,150000
Full Stack Developer,6,144500
Full Stack Developer,6,143000
Full Stack Developer,7,159500
Full Stack Developer,7,159000
Full Stack Developer,7,160000
Full Stack Developer,7,161500
Full Stack Developer,7,159500
Full Stack Developer,8,178500
Full Stack Developer,8,177000
Full Stack Developer,8,174500
Full Stack Developer,8,174000
Full Stack Developer,8,176500
Full Stack Developer,9,190000
